city,band,mean_tas,sum_pop_tas,sum_pop,pw_mean
怀化市,2010-01-10 12:00:00,277.50450875945415,9586607.68914795,34505,277.832421073698
株洲市,2010-01-01 12:00:00,279.1152691491521,10547451.563354492,37833,278.78972228886136
株洲市,2010-01-02 12:00:00,279.5540882345182,10556857.841033936,37833,279.03834855903403
株洲市,2010-01-03 12:00:00,279.7366897850428,10576733.214019775,37833,279.56369344275566
株洲市,2010-01-04 12:00:00,280.0012091043566,10601331.024841309,37833,280.21386157167836
株洲市,2010-01-05 12:00:00,280.3585059088715,10625122.873077393,37833,280.8427265370812
株洲市,2010-01-06 12:00:00,281.05378377080325,10641382.047576904,37833,281.27248823981455
株洲市,2010-01-07 12:00:00,280.4763099918051,10583990.28302002,37833,279.755511934555
株洲市,2010-01-08 12:00:00,278.00439635413966,10516002.461853027,37833,277.95846118079527
株洲市,2010-01-09 12:00:00,277.6695851815831,10500471.083496094,37833,277.5479365499985
株洲市,2010-01-10 12:00:00,278.2230256889713,10520469.076293945,37833,278.0765225145758
永州市,2010-01-01 12:00:00,279.857411003565,13024149.221252441,46478,280.22180862456304
永州市,2010-01-02 12:00:00,280.13317211688326,13028718.674713135,46478,280.320122955229
永州市,2010-01-03 12:00:00,280.78796275153775,13061091.344146729,46478,281.0166389291004
永州市,2010-01-04 12:00:00,281.1188142504269,13084912.190246582,46478,281.52915767129787
永州市,2010-01-05 12:00:00,281.1386221121023,13089368.366851807,46478,281.62503478746515
永州市,2010-01-06 12:00:00,281.4998495001542,13106856.71005249,46478,282.00130621051875
永州市,2010-01-07 12:00:00,282.9581578304893,13158457.2840271,46478,283.1115212364366
永州市,2010-01-08 12:00:00,279.7734638082071,13012413.951934814,46478,279.9693177833559
永州市,2010-01-09 12:00:00,279.18113879388744,12990549.122833252,46478,279.49888383392687
永州市,2010-01-10 12:00:00,280.74984650917105,13059245.373046875,46478,280.9769218349945
湘潭市,2010-01-01 12:00:00,278.0016891827532,10029013.446594238,36038,278.28995634036954
湘潭市,2010-01-02 12:00:00,278.0809651314139,10033281.042755127,36038,278.4083756799802
湘潭市,2010-01-03 12:00:00,278.80623594652707,10059201.0027771,36038,279.12761537202675
湘潭市,2010-01-04 12:00:00,279.7600396970312,10091684.076934814,36038,280.0289715559913
湘潭市,2010-01-05 12:00:00,280.39763920094407,10117241.230377197,36038,280.7381439141239
湘潭市,2010-01-06 12:00:00,280.8187414308985,10130433.876495361,36038,281.1042198927621
湘潭市,2010-01-07 12:00:00,279.3369899473461,10067400.512237549,36038,279.3551393594969
湘潭市,2010-01-08 12:00:00,277.5252324745816,10009184.682159424,36038,277.73973811419677
湘潭市,2010-01-09 12:00:00,277.28059141136924,9996506.10522461,36038,277.3879267779735
湘潭市,2010-01-10 12:00:00,277.40117309741277,10006793.367492676,36038,277.67338274856195
湘西土家族苗族自治州,2010-01-01 12:00:00,275.9862747919086,6251222.936462402,22629,276.2483068833091
湘西土家族苗族自治州,2010-01-02 12:00:00,276.6146618792345,6262454.492156982,22629,276.744641484687
湘西土家族苗族自治州,2010-01-03 12:00:00,278.064863118073,6296115.978027344,22629,278.2321789750914
湘西土家族苗族自治州,2010-01-04 12:00:00,279.54169645391636,6331491.726135254,22629,279.7954715690156
湘西土家族苗族自治州,2010-01-05 12:00:00,279.490010779806,6328667.619903564,22629,279.67067125827765
湘西土家族苗族自治州,2010-01-06 12:00:00,279.54743453177645,6330185.602783203,22629,279.7377525645501
湘西土家族苗族自治州,2010-01-07 12:00:00,278.0776911690857,6300118.667419434,22629,278.40906215119685
湘西土家族苗族自治州,2010-01-08 12:00:00,277.3509651717492,6281216.90222168,22629,277.57377269086925
湘西土家族苗族自治州,2010-01-09 12:00:00,277.2593604805696,6280068.7966918945,22629,277.5230366649827
湘西土家族苗族自治州,2010-01-10 12:00:00,276.756261954712,6265379.114624023,22629,276.8738837166478
益阳市,2010-01-01 12:00:00,276.6472898687757,8361522.1253967285,30171,277.13771918056176
益阳市,2010-01-02 12:00:00,276.80447716850256,8366239.7373046875,30171,277.294081644781
益阳市,2010-01-03 12:00:00,278.04114678058465,8402938.639282227,30171,278.5104451056387
益阳市,2010-01-04 12:00:00,279.56255386871345,8448122.606750488,30171,280.00804105765434
益阳市,2010-01-05 12:00:00,279.9780160963816,8461082.802764893,30171,280.43759911056617
益阳市,2010-01-06 12:00:00,280.03144780077236,8460228.111480713,30171,280.40927087205307
益阳市,2010-01-07 12:00:00,277.96715319887767,8393180.377471924,30171,278.18701327340574
益阳市,2010-01-08 12:00:00,277.01662309906317,8368134.207702637,30171,277.35687274875335
益阳市,2010-01-09 12:00:00,276.9088380638906,8362582.313201904,30171,277.1728584800605
益阳市,2010-01-10 12:00:00,276.29090736876935,8349445.6873168945,30171,276.73745276314656
衡阳市,2010-01-01 12:00:00,279.13848283190237,13798608.933258057,49415,279.2392782203391
衡阳市,2010-01-02 12:00:00,279.22029670646543,13802456.597686768,49415,279.3171425212338
衡阳市,2010-01-03 12:00:00,279.6082236104178,13821017.223510742,49415,279.6927496410147
衡阳市,2010-01-04 12:00:00,280.28547218449364,13854865.11553955,49415,280.3777216541445
衡阳市,2010-01-05 12:00:00,280.501301804197,13865358.17388916,49415,280.59006726478117
衡阳市,2010-01-06 12:00:00,281.13771271266364,13896106.938232422,49415,281.2123229430825
衡阳市,2010-01-07 12:00:00,281.1464621358084,13894467.379882813,49415,281.1791435775132
衡阳市,2010-01-08 12:00:00,278.31176013315985,13753745.831695557,49415,278.33139394304476
衡阳市,2010-01-09 12:00:00,278.1201838970994,13746728.178833008,49415,278.1893793146415
衡阳市,2010-01-10 12:00:00,278.609072228779,13769535.792755127,49415,278.6509317566554
邵阳市,2010-01-01 12:00:00,277.08493845786245,10378019.245391846,37397,277.50940571147004
邵阳市,2010-01-02 12:00:00,276.75827021343474,10363009.402862549,37397,277.1080408284769
邵阳市,2010-01-03 12:00:00,277.8510753623835,10401334.004821777,37397,278.1328450095403
邵阳市,2010-01-04 12:00:00,279.433069515219,10461215.837158203,37397,279.7340919634784
邵阳市,2010-01-05 12:00:00,279.63540795840515,10471372.720428467,37397,280.00568816826126
邵阳市,2010-01-06 12:00:00,279.85074600629014,10481826.652648926,37397,280.2852274954923
邵阳市,2010-01-07 12:00:00,279.88748995937107,10473494.930755615,37397,280.0624363118864
邵阳市,2010-01-08 12:00:00,277.2873016103281,10380070.924926758,37397,277.56426785375186
邵阳市,2010-01-09 12:00:00,277.23674140221686,10380493.899108887,37397,277.57557823111176
邵阳市,2010-01-10 12:00:00,277.696375674265,10388559.403869629,37397,277.791250738552
郴州市,2010-01-01 12:00:00,280.24019143277803,10838193.150878906,38644,280.4625077859152
郴州市,2010-01-02 12:00:00,280.93285443705895,10865186.152435303,38644,281.161012121812
郴州市,2010-01-03 12:00:00,280.7643165212738,10857957.559112549,38644,280.9739560892389
郴州市,2010-01-04 12:00:00,280.45289421491725,10847658.204742432,38644,280.70743724103176
郴州市,2010-01-05 12:00:00,280.2995196270686,10841552.693969727,38644,280.549443483328
郴州市,2010-01-06 12:00:00,281.60612132186327,10892663.838775635,38644,281.8720587614024
郴州市,2010-01-07 12:00:00,283.1209696348198,10954395.122680664,38644,283.46949391058547
郴州市,2010-01-08 12:00:00,279.7920106068532,10822690.787078857,38644,280.0613494223905
郴州市,2010-01-09 12:00:00,278.863040636081,10784799.951416016,38644,279.08083923548327
郴州市,2010-01-10 12:00:00,279.6328177658798,10818284.037902832,38644,279.94731492347665
长沙市,2010-01-01 12:00:00,277.77667963662014,38188704.63241577,137310,278.1203454403596
长沙市,2010-01-02 12:00:00,277.88942016457077,38203660.265197754,137310,278.22926418467523
长沙市,2010-01-03 12:00:00,278.70510509750267,38323125.33068848,137310,279.0993032604215
长沙市,2010-01-04 12:00:00,279.70666117921326,38464759.01373291,137310,280.1307917393701
长沙市,2010-01-05 12:00:00,280.49166746529767,38573953.36605835,137310,280.926031360122
长沙市,2010-01-06 12:00:00,280.69400901136504,38599146.72616577,137310,281.10950933046223
长沙市,2010-01-07 12:00:00,278.4212107808355,38277893.08114624,137310,278.7698862511561
长沙市,2010-01-08 12:00:00,277.2729678574873,38128797.22967529,137310,277.6840523609008
长沙市,2010-01-09 12:00:00,276.78961887043556,38058679.211120605,137310,277.17339750288113
长沙市,2010-01-10 12:00:00,277.172414390711,38108190.642211914,137310,277.5339788960157
